mean,std,max,min,range,entropy,pc1,pc2,pc3,label
-3.936914927511735,0.005878401881521516,-3.9222784653526865,-3.943876800181315,0.021598334828628385,0.005957569825816966,0.043931678791582336,0.3407911240900822,-0.13761629572731898,0
-3.940357677921778,0.003159498930687488,-3.933103503914101,-3.94578942984031,0.012685925926208874,0.011545403006320232,-0.195936565293793,0.18154479756345665,0.0025792578563293596,0
-3.94217630176167,0.0027992363874992567,-3.9353247574273165,-3.9470076420633053,0.011682884635988877,0.012376479897041825,-0.3243763795079512,0.16239428023476593,0.01482198979639863,1
-3.943314273978108,0.002292162019087254,-3.937414578495331,-3.9470076420633053,0.00959306356797418,0.013710185413613907,-0.40805915081764754,0.12172948979360416,-0.03431564858630521,1
-3.944113312371385,0.001174718444265535,-3.94140746160502,-3.9470076420633053,0.005600180458285475,0.02503601119622889,-0.4671988839864035,0.014199749842992045,-0.03470655177397441,1
-3.9439834049379905,0.0013483176460346085,-3.939352035784418,-3.9470076420633053,0.007655606278887284,0.019235706189027812,-0.4599217621202234,-0.06308681104407657,-0.026849313705473506,1
-3.9430251439108237,0.002317200992803264,-3.938242104706635,-3.9470076420633053,0.008765537356670183,0.010909498639855908,-0.3931363278648873,-0.16024702261882173,-0.013986614915151607,1
-3.9412795149956366,0.0030937196249392644,-3.933158128203922,-3.946214175345977,0.013056047142055327,0.007770268571292149,-0.2715882672635655,-0.2199478097075973,-0.020339118023898674,1
-3.93849336921693,0.004599259376750815,-3.928642572858667,-3.9442561970278636,0.015613624169196427,0.004852796989739394,-0.0795593293925134,-0.32684599218258586,-0.075093337779335,0
-3.935700829505935,0.004945188589060882,-3.928642572858667,-3.943630664501896,0.014988091643228785,0.004470920861981753,0.12157996702975249,-0.3626782899023451,-0.011606055823482059,0
-3.9331901176389867,0.004106167843241666,-3.928642572858667,-3.940062606712462,0.011420033853794642,0.0053013306982256925,0.3052148411240485,-0.2922951895695436,0.07749872404568438,2
-3.9314578734572003,0.0028548550335277525,-3.928642572858667,-3.9389279790590006,0.010285406200333469,0.007073579998317259,0.4331538432274184,-0.16843312101430322,0.10002653494880193,2
-3.9303296312429024,0.0009341361084791944,-3.928642572858667,-3.9333442213424856,0.004701648483818488,0.022435612792132797,0.5111247868789791,-0.020289005303942356,0.00997256974313541,2
-3.930464456479883,0.0009615715435363108,-3.9286881493472072,-3.9333972868070335,0.0047091374598262625,0.023542991475719255,0.5003574583165736,0.023844681086242582,-0.023437561419177917,2
-3.931554458074861,0.0020625106273955843,-3.9287902786135165,-3.937319062772781,0.008528784159264724,0.011081982395395817,0.42784533174162304,0.08866588048296563,0.034243240585162385,2
-3.932870426697521,0.0025554298151268602,-3.9299152189122815,-3.938292345015138,0.008377126102856458,0.010029576195381473,0.3357900943107039,0.13274289431041017,0.0343949568305964,2
-3.9344062938886557,0.0029984958615331325,-3.930004051120609,-3.93997130786339,0.009967256742780872,0.010489261132665906,0.2258705710151239,0.17211579879775304,-0.00731807516085456,0
-3.9359893746944117,0.0029229593704936385,-3.930127461657215,-3.940336688812156,0.010209227154941214,0.011536065193273881,0.111063134894601,0.16626349898050372,-0.04671465762689085,0
-3.93783400584099,0.0024870920346472297,-3.9314731178437112,-3.943041153488075,0.011568035644363928,0.013056922371551316,-0.01766468921630616,0.1343817872719293,0.0020132869080193216,0
-3.940035760204325,0.0035716537723091803,-3.934347119646611,-3.9478136943130266,0.013466574666415543,0.008279369394080582,-0.1674111161532996,0.21190932547415908,0.0837603260042904,0
-3.9421445019300276,0.00378473361833797,-3.9360089934236377,-3.9484550287453333,0.012446035321695526,0.008154777364238308,-0.31844600781463284,0.23853132461303192,0.04859031229513354,1
-3.944214914343875,0.00385584530019218,-3.9375896374841397,-3.94956797542231,0.01197833793817038,0.006811416578562435,-0.4679835618614651,0.24921848546304595,-0.020749475035458532,1
-3.946282271292188,0.003208745941087686,-3.9382948485566533,-3.9502104225350267,0.011915573978373395,0.007947127165740975,-0.6171527969996792,0.19521995002746084,-0.024765852729745047,1
-3.948063307350121,0.0017435299417804082,-3.9427453843837683,-3.9517648699704306,0.009019485586662324,0.015171379926678163,-0.7418484805046793,0.1026182961860039,0.024412029837554083,1
-3.9488951397826435,0.0014183161912197178,-3.9452451795544743,-3.9517648699704306,0.006519690415956347,0.01923816830180991,-0.801204209734653,0.08044272326983587,0.021694430983074876,1
-3.9496621458783645,0.0010343328754624608,-3.9465221943182875,-3.9517648699704306,0.005242675652143092,0.02517711492143393,-0.8552442143012424,0.05314556723452785,0.041650443409207455,1
-3.950012284526407,0.000884243269820718,-3.947374883024084,-3.9519255418538766,0.004550658829792553,0.029473225913816403,-0.8804323767457894,0.03273967933357647,0.04306537384263879,1
-3.9501349596878894,0.0008468917789314043,-3.9480751183399487,-3.9519255418538766,0.0038504235139278364,0.02852935980542659,-0.8908353457584873,0.007941210526547657,0.027990346900660667,1
-3.9498532062677403,0.0010897156539321027,-3.947131016627964,-3.9519255418538766,0.004794525225912505,0.019624490572045072,-0.8727813143483663,-0.04445188996308927,0.010373658041129798,1
-3.949100026490858,0.0018140106749615348,-3.9444531299595256,-3.9519255418538766,0.007472411894350994,0.010746727732581451,-0.8217728040580682,-0.10938318152440885,-0.0009802984152314437,1
-3.9475706226126133,0.0028667853832703718,-3.9415292698949527,-3.9519255418538766,0.010396271958923897,0.006739544137268627,-0.7163096277519226,-0.19140725144382517,-0.022532892914208087,1
